lv:0 id:0
209,148,194,199,-50
163,102,146,149,-158
70,0,-73,183,-150
73,12,26,135,19
88,22,68,88,11
79,0,2,80,0
lv:0 id:1
328,255,290,336,-50
344,284,335,339,225
238,178,211,236,-156
167,106,122,207,116
87,13,51,200,-4
79,0,62,80,0
lv:0 id:2
231,170,205,223,-50
203,143,173,173,173
123,48,82,226,-150
93,31,56,199,31
107,26,64,178,-81
79,0,50,80,0
lv:0 id:3
58,0,33,159,-57
102,33,72,120,-100
70,0,-49,299,-219
130,41,85,180,20
135,75,105,130,80
79,0,74,80,0
lv:0 id:4
106,30,62,200,-50
156,95,138,150,-144
80,20,49,374,-294
170,90,140,180,28
155,95,124,130,120
79,0,63,80,0
lv:0 id:5
120,35,72,170,-50
128,68,115,120,70
70,0,-13,223,-150
118,58,90,271,-29
119,58,71,123,67
79,0,47,80,0
lv:0 id:6
70,0,-60,136,-66
70,0,-27,120,-100
70,0,5,222,-150
103,23,68,118,20
68,0,35,186,-158
79,0,25,80,0
lv:0 id:7
70,0,13,248,-50
207,127,167,255,-37
148,73,109,229,-150
206,145,187,193,91
166,105,123,151,121
79,0,46,80,0
lv:0 id:8
168,96,127,279,-50
229,156,200,328,-100
278,210,253,414,-351
259,198,239,240,217
179,99,130,183,38
79,0,29,80,0
lv:0 id:9
134,40,85,176,-51
127,67,116,125,-110
70,0,-205,293,-213
183,120,155,240,20
190,115,141,198,-166
79,0,69,80,0
lv:0 id:10
70,0,-100,176,-106
70,0,-108,267,-114
210,135,175,278,-198
221,133,173,261,99
152,91,122,158,54
79,0,75,80,0
lv:0 id:11
137,40,90,177,-50
132,72,104,127,-100
77,0,45,230,-150
121,51,92,180,27
138,77,119,130,71
79,0,57,80,0
lv:0 id:12
56,0,15,172,-51
102,31,73,120,6
70,0,-111,218,-156
75,15,42,120,20
70,0,-26,112,-30
79,0,16,80,0
lv:0 id:13
70,0,4,168,-50
118,51,93,120,-100
70,0,-11,225,-150
141,44,94,277,-31
136,76,94,125,91
79,0,49,80,0
lv:0 id:14
70,0,-27,262,-72
138,76,107,176,12
118,29,72,214,-150
137,77,111,164,68
138,78,118,126,74
79,0,28,80,0
